,A,B,C,D,E,F,H,K,L
ConcatenatedReads_7AB_TP_4_all,0.3569560647010803,0.0,0.0,0.0,0.0,0.0,0.0,0.2936117649078369,0.003830531844869256
ConcatenatedReads_7AB_TP_5_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178676494397223
ConcatenatedReads_7PA_TP_1_all,0.23467600345611572,0.0,0.028051719069480896,0.2948387861251831,0.0,0.0,0.14227701723575592,0.23203226923942566,0.0
ConcatenatedReads_7PA_TP_3_all,0.11581569164991379,0.0,0.0,0.35893014073371887,0.0,0.0,0.2088160216808319,0.2851639986038208,0.0
ConcatenatedReads_7PA_TP_5_all,0.09889846295118332,0.0,0.0,0.4703889489173889,0.0,0.0,0.15149688720703125,0.21650290489196777,0.0
ConcatenatedReads_7PB_TP_4_all,0.8021841645240784,0.036224015057086945,0.0,0.06559526175260544,0.0,0.0,0.03892695531249046,0.03204439580440521,0.00624630693346262
ConcatenatedReads_8AA_TP_3_all,0.3007969260215759,0.0,0.0,0.0,0.0,0.36405208706855774,0.0,0.0,0.0
ConcatenatedReads_8AA_TP_4_all,0.4098072946071625,0.0,0.05177577584981918,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_8AB_TP_1_all,0.5048051476478577,0.011560693383216858,0.058824699372053146,0.0,0.06567572057247162,0.14191406965255737,0.0036039131227880716,0.19404436647891998,0.0
ConcatenatedReads_8AB_TP_3_all,0.3689911961555481,0.02171035297214985,0.04793572425842285,0.0004448003019206226,0.3132973611354828,0.15102986991405487,0.0,0.07525811344385147,0.0
ConcatenatedReads_8AB_TP_4_all,0.3706289827823639,0.02116534672677517,0.06968033313751221,0.0,0.08998044580221176,0.2957555651664734,0.010223379358649254,0.11401296406984329,0.0
ConcatenatedReads_8AB_TP_5_all,0.34962230920791626,0.0,0.06582537293434143,0.0,0.20104756951332092,0.2582722008228302,0.0,0.05011322349309921,0.0
ConcatenatedReads_8AC_TP_1_all,0.6592853665351868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_8AC_TP_3_all,0.6105058193206787,0.0,0.0,0.0,0.0,0.18963705003261566,0.09329202771186829,0.0,0.0
ConcatenatedReads_8AC_TP_4_all,0.21492819488048553,0.0,0.0,0.0,0.0,0.0509776771068573,0.0,0.7049291133880615,0.0003319788083899766
ConcatenatedReads_8PA_TP_3_all,0.12795805931091309,0.0,0.029857652261853218,0.0,0.006623259745538235,0.22148288786411285,0.005341002251952887,0.5617281198501587,0.0
